46516,4,651,2015-2016
817146,8,1714,2015-2016
10115376,101,1537,2015-2016
4436,4,43,2015-2016
5414186,54,1418,2015-2016
4436,4,43,2015-2016
288956,28,895,2015-2016
2116006,21,1600,2015-2016
87166,8,716,2015-2016
34016,3,401,2015-2016
679226,67,922,2015-2016
709276,70,927,2015-2016
9411786,94,1178,2015-2016
156826,15,682,2015-2016
10115806,101,1580,2015-2016
10115706,101,1570,2015-2016
10115756,101,1575,2015-2016
156836,15,683,2015-2016
9613926,96,1392,2015-2016
378356,37,835,2015-2016
9613926,96,1392,2015-2016
328256,32,825,2015-2016
581436,58,143,2015-2016
3715326,37,1532,2015-2016
7810306,78,1030,2015-2016
507936,50,793,2015-2016
126546,12,654,2015-2016
122166,12,216,2015-2016
10115726,101,1572,2015-2016
9313426,93,1342,2015-2016
156806,15,680,2015-2016
164906,16,490,2015-2016
164906,16,490,2015-2016
164906,16,490,2015-2016
5810046,58,1004,2015-2016
5810046,58,1004,2015-2016
2116036,21,1603,2015-2016
2116056,21,1605,2015-2016
2116876,21,1687,2015-2016
5611116,56,1111,2015-2016
5611116,56,1111,2015-2016
5611116,56,1111,2015-2016
709276,70,927,2015-2016
4166,4,16,2015-2016
625376,62,537,2015-2016
161896,16,189,2015-2016
406386,40,638,2015-2016
151696,15,169,2015-2016
284596,28,459,2015-2016
284596,28,459,2015-2016
631516,63,151,2015-2016
635796,63,579,2015-2016
34616,3,461,2015-2016
56486,5,648,2015-2016
5812386,58,1238,2015-2016
5816846,58,1684,2015-2016
198776,19,877,2015-2016
4186,4,18,2015-2016
6306,6,30,2015-2016
9313436,93,1343,2015-2016
10117526,101,1752,2015-2016
156856,15,685,2015-2016
164786,16,478,2015-2016
6586,6,58,2015-2016
328256,32,825,2015-2016
2116006,21,1600,2015-2016
9313446,93,1344,2015-2016
9313446,93,1344,2015-2016
9313426,93,1342,2015-2016
41296,4,129,2015-2016
9416656,94,1665,2015-2016
9411786,94,1178,2015-2016
10115846,101,1584,2015-2016
5812386,58,1238,2015-2016
5816846,58,1684,2015-2016
9413716,94,1371,2015-2016
6016206,60,1620,2015-2016
6012406,60,1240,2015-2016
6017446,60,1744,2015-2016
6012416,60,1241,2015-2016
779836,77,983,2015-2016
779896,77,989,2015-2016
7717456,77,1745,2015-2016
779866,77,986,2015-2016
779856,77,985,2015-2016
779826,77,982,2015-2016
779896,77,989,2015-2016
126546,12,654,2015-2016
122146,12,214,2015-2016
402896,40,289,2015-2016
6712396,67,1239,2015-2016
284596,28,459,2015-2016
10115756,101,1575,2015-2016
9413716,94,1371,2015-2016
126546,12,654,2015-2016
3715926,37,1592,2015-2016
518406,51,840,2015-2016
14116,14,11,2015-2016
3212616,32,1261,2015-2016
2412316,24,1231,2015-2016
679196,67,919,2015-2016
679156,67,915,2015-2016
507916,50,791,2015-2016
1513536,15,1353,2015-2016
212706,21,270,2015-2016
10115816,101,1581,2015-2016
156876,15,687,2015-2016
9410856,94,1085,2015-2016
10115756,101,1575,2015-2016
7810286,78,1028,2015-2016
5810706,58,1070,2015-2016
4566,4,56,2015-2016
328286,32,828,2015-2016
7719666,77,1966,2015-2016
9413786,94,1378,2015-2016
166956,16,695,2015-2016
16816,16,81,2015-2016
9410856,94,1085,2015-2016
6306,6,30,2015-2016
5256,5,25,2015-2016
3715926,37,1592,2015-2016
942156,94,215,2015-2016
942156,94,215,2015-2016
151816,15,181,2015-2016
151816,15,181,2015-2016
212746,21,274,2015-2016
212746,21,274,2015-2016
812786,8,1278,2015-2016
518406,51,840,2015-2016
2410256,24,1025,2015-2016
6912236,69,1223,2015-2016
6912236,69,1223,2015-2016
6912236,69,1223,2015-2016
9313466,93,1346,2015-2016
825296,82,529,2015-2016
779876,77,987,2015-2016
156856,15,685,2015-2016
2116876,21,1687,2015-2016
9613926,96,1392,2015-2016
3715926,37,1592,2015-2016
625696,62,569,2015-2016
467656,46,765,2015-2016
121726,12,172,2015-2016
9413786,94,1378,2015-2016
374926,37,492,2015-2016
753076,75,307,2015-2016
2116056,21,1605,2015-2016
328256,32,825,2015-2016
507946,50,794,2015-2016
41846,4,184,2015-2016
9613976,96,1397,2015-2016
9613976,96,1397,2015-2016
9613976,96,1397,2015-2016
9414156,94,1415,2015-2016
9414156,94,1415,2015-2016
156856,15,685,2015-2016
156796,15,679,2015-2016
9613926,96,1392,2015-2016
111286,11,128,2015-2016
1311006,13,1100,2015-2016
5612716,56,1271,2015-2016
825296,82,529,2015-2016
9613906,96,1390,2015-2016
121726,12,172,2015-2016
10115756,101,1575,2015-2016
66756,6,675,2015-2016
625696,62,569,2015-2016
67086,6,708,2015-2016
10117526,101,1752,2015-2016
9413766,94,1376,2015-2016
156796,15,679,2015-2016
156856,15,685,2015-2016
604316,60,431,2015-2016
548066,54,806,2015-2016
9413766,94,1376,2015-2016
10506,10,50,2015-2016
156806,15,680,2015-2016
156806,15,680,2015-2016
623316,62,331,2015-2016
151556,15,155,2015-2016
151556,15,155,2015-2016
753076,75,307,2015-2016
9513836,95,1383,2015-2016
953806,95,380,2015-2016
156836,15,683,2015-2016
9410856,94,1085,2015-2016
133326,13,332,2015-2016
548076,54,807,2015-2016
5510396,55,1039,2015-2016
156796,15,679,2015-2016
5416046,54,1604,2015-2016
6286,6,28,2015-2016
5412466,54,1246,2015-2016
131706,13,170,2015-2016
5416636,54,1663,2015-2016
156856,15,685,2015-2016
46516,4,651,2015-2016
625396,62,539,2015-2016
6976,6,97,2015-2016
10115806,101,1580,2015-2016
9413816,94,1381,2015-2016
9410856,94,1085,2015-2016
156856,15,685,2015-2016
156856,15,685,2015-2016
10115796,101,1579,2015-2016
10115796,101,1579,2015-2016
156796,15,679,2015-2016
825296,82,529,2015-2016
67086,6,708,2015-2016
3514396,35,1439,2015-2016
9513836,95,1383,2015-2016
548136,54,813,2015-2016
5415006,54,1500,2015-2016
5416046,54,1604,2015-2016
585236,58,523,2015-2016
548106,54,810,2015-2016
9411756,94,1175,2015-2016
328286,32,828,2015-2016
953746,95,374,2015-2016
582386,58,238,2015-2016
8014516,80,1451,2015-2016
6211276,62,1127,2015-2016
4326,4,32,2015-2016
10116646,101,1664,2015-2016
10115756,101,1575,2015-2016
896,8,9,2015-2016
5412136,54,1213,2015-2016
5416046,54,1604,2015-2016
953826,95,382,2015-2016
6211276,62,1127,2015-2016
46496,4,649,2015-2016
689066,68,906,2015-2016
816186,8,1618,2015-2016
27216,2,721,2015-2016
953816,95,381,2015-2016
264856,26,485,2015-2016
5412446,54,1244,2015-2016
505956,50,595,2015-2016
151126,15,112,2015-2016
7513246,75,1324,2015-2016
46496,4,649,2015-2016
34016,3,401,2015-2016
34016,3,401,2015-2016
34016,3,401,2015-2016
116666,11,666,2015-2016
548106,54,810,2015-2016
544556,54,455,2015-2016
34016,3,401,2015-2016
759346,75,934,2015-2016
824106,82,410,2015-2016
111856,11,185,2015-2016
66726,6,672,2015-2016
66726,6,672,2015-2016
1116306,11,1630,2015-2016
5816846,58,1684,2015-2016
5416956,54,1695,2015-2016
9613986,96,1398,2015-2016
166976,16,697,2015-2016
151126,15,112,2015-2016
6012416,60,1241,2015-2016
623316,62,331,2015-2016
8210726,82,1072,2015-2016
825296,82,529,2015-2016
825296,82,529,2015-2016
156856,15,685,2015-2016
10115846,101,1584,2015-2016
18676,18,67,2015-2016
44736,4,473,2015-2016
501736,50,173,2015-2016
41826,4,182,2015-2016
812786,8,1278,2015-2016
164786,16,478,2015-2016
164786,16,478,2015-2016
16816,16,81,2015-2016
625376,62,537,2015-2016
16816,16,81,2015-2016
10115756,101,1575,2015-2016
609386,60,938,2015-2016
151096,15,109,2015-2016
814176,8,1417,2015-2016
548076,54,807,2015-2016
131806,13,180,2015-2016
1711036,17,1103,2015-2016
66756,6,675,2015-2016
779846,77,984,2015-2016
8210746,82,1074,2015-2016
8210746,82,1074,2015-2016
8014516,80,1451,2015-2016
6216536,62,1653,2015-2016
1146,11,4,2015-2016
5416976,54,1697,2015-2016
5416836,54,1683,2015-2016
582456,58,245,2015-2016
585246,58,524,2015-2016
